path	pym_chars	pym_picture_marker	pym_first120	verdict
babylonstoren/33_ELLE-Sep-2013.pdf	0	0		C_other
babylonstoren/CNTGoldListJan2017US.pdf	163	1	JANUARY 2017   TRUTH IN TRAVEL   **==> picture [31 x 31] intentionally omitted <==**  HULA _in_ HAWAII BARBADOS’ _Hidden	A_image_text
babylonstoren/CNT_November_2016.pdf	379	1	NOVEMBER 2016   TRUTH IN TRAVEL   **==> picture [83 x 74] intentionally omitted <==**  **==> picture [74 x 74] intention	A_image_text
babylonstoren/Conde_Nast_Traveler_US_Gold_List_Feb_2018.pdf	324	1	**==> picture [677 x 801] intentionally omitted <==**  **----- Start of picture text -----**<br> TRUTH IN TRAVEL VOLUME 	A_image_text
babylonstoren/Vogue_November_2017_UK.pdf	1	0		C_other
babylonstoren/lufthansa-1539600052.pdf	72	1	**==> picture [169 x 132] intentionally omitted <==**  **Lufthansa**	A_image_text
babylonstoren/my-fair-lady-march-2019-sa.pdf	0	0		C_other
badrutts-palace-hotel/badrutts-palace-hotel-pr-presskit-2025.pdf	1977	1	**==> picture [317 x 56] intentionally omitted <==**  ## **GENERAL INFORMATION**   Anikó Badrutt   ## **MAJORITY SHAREHO	A_image_text
belmond-grand-hotel-timeo/GHT-PICNIC-MENU.pdf	111	1	**==> picture [295 x 845] intentionally omitted <==**  **==> picture [296 x 845] intentionally omitted <==**	A_image_text
belmond-hotel-das-cataratas/Menu-Ipe-Lunch.pdf	57	1	**==> picture [610 x 1078] intentionally omitted <==**	A_image_text
belmond-la-samanna/LAS-CORAIL-BREAKFAST-MENU.pdf	1300	1	**==> picture [123 x 101] intentionally omitted <==**  ## SWEET AND HEALTHY BOWLS   **TROPICAL BIRSHER MUESLI** 5, 7, 8 	A_image_text
belmond-la-samanna/LAS_Menu_LaCave.pdf	56	1	**==> picture [282 x 402] intentionally omitted <==**	A_image_text
hotel-eden-rome/hotel-eden-rome-il-giardino-bar-menu-nov25.pdf	1081	0	## **I L  G I A R D I N O  B A R  S I G N AT U R E S**   _Signature cocktails_   ## **L A  G R A N D E  B E L L E Z Z A*	B_real_text_zpdf_bug
